parent,classification,used_by_lhs,stages,source_v4_lines,notes
Kp,template_index,u_sp,global,282,Short template index resolved during code generation.
Kp_L_c,parameter,"u_lv_sp_{s,c}",flotation,1582,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kp_pH,parameter,dose_need_naoh_s,flotation,1521,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kpipe_s1,parameter,split_s1_meter1,flotation,1627,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kpipe_s2,parameter,split_s2_meter1,flotation,1628,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kpool_L_k,parameter,"f_pool_sp_{s,k}",flotation,1638,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kpool_feed,parameter,M_feed_sp,flotation,1622,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kproxy_td,parameter,dose_need_TD_clean_s,flotation,1492,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kselect_k6,parameter,dose_need_DF_K6_s,flotation,1493,"Calibration, geometry, or tuning parameter; not generated by process equations."
Ksil_cao,parameter,dose_need_cao_s,flotation,1522,"Calibration, geometry, or tuning parameter; not generated by process equations."
Ksil_k6,parameter,dose_need_DF_K6_s,flotation,1493,"Calibration, geometry, or tuning parameter; not generated by process equations."
Ksil_sp,parameter,pH_sp_s,flotation,1520,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kslime_k6,parameter,dose_need_DF_K6_s,flotation,1493,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kslime_pul,parameter,f_pul_sp,magnetic,1234,"Calibration, geometry, or tuning parameter; not generated by process equations."
Ksplit_s1,parameter,split_s1_total,flotation,1624,"Calibration, geometry, or tuning parameter; not generated by process equations."
Ktimer_bd,parameter,u_blowdown_phys,magnetic,1254,"Calibration, geometry, or tuning parameter; not generated by process equations."
Ktm_feed,parameter,M_feed_sp,flotation,1622,"Calibration, geometry, or tuning parameter; not generated by process equations."
Kvalve_header,parameter,P_header_sp,flotation,1537,"Calibration, geometry, or tuning parameter; not generated by process equations."
L0_fe,parameter,Liberation_fe_i,boundary,361,"Calibration, geometry, or tuning parameter; not generated by process equations."
L0_gangue,parameter,Liberation_gangue_i,boundary,368,"Calibration, geometry, or tuning parameter; not generated by process equations."
L_NT_ref,parameter,C_under_sp_s,flotation,1455,"Calibration, geometry, or tuning parameter; not generated by process equations."
"L_cell_aerated_lag_{s,c}",equipment_or_control_state,"u_lv_sp_{s,c}",flotation,1582,Equipment state or actuator signal generated by another execution block.
"L_cell_{s,c}",equipment_or_control_state,"L_cell_aerated_{s,c};P_cell_{s,c};Q_out_cell_{s,c};V_pulp_actual_{s,c};lip_clearance_{s,c}",flotation,1554;1561;1584;1585;1587,Equipment state or actuator signal generated by another execution block.
L_high,parameter,M_feed_sp,flotation,1622,"Calibration, geometry, or tuning parameter; not generated by process equations."
L_k6_s,equipment_or_control_state,event_k6_refill_s;fx_s{s}_k6_level,flotation,1512;1690,Equipment state or actuator signal generated by another execution block.
L_mag,equipment_or_control_state,E_level;Entr;Q_tail_1;Q_tail_2;agg_mag_level;u_tail_total_sp,magnetic,1243;1250;1251;1276;523;524,Equipment state or actuator signal generated by another execution block.
L_mag_sp,equipment_or_control_state,u_tail_total_sp,magnetic,1243,Equipment state or actuator signal generated by another execution block.
L_min_safe,equipment_or_control_state,Q_pump,tower_mill,1315,Equipment state or actuator signal generated by another execution block.
L_ov_pool,equipment_or_control_state,Q_ov_pump;agg_tm_cyclone_overflow_pool_level;f_ov_pump_sp,tower_mill,1402;1403;1427,Equipment state or actuator signal generated by another execution block.
L_ov_sp,equipment_or_control_state,f_ov_pump_sp,tower_mill,1402,Equipment state or actuator signal generated by another execution block.
L_pool,equipment_or_control_state,M_feed_sp;Q_pump;agg_tm_cyclone_pool_level;f_pump_sp;tau_cyc_pool;u_water_sp,flotation;tower_mill,1290;1313;1315;1319;1414;1622,Equipment state or actuator signal generated by another execution block.
L_pool_s1,equipment_or_control_state,split_s1_total,flotation,1624,Equipment state or actuator signal generated by another execution block.
L_pool_s2,equipment_or_control_state,split_s1_total,flotation,1624,Equipment state or actuator signal generated by another execution block.
L_pool_sp_k,equipment_or_control_state,"f_pool_sp_{s,k}",flotation,1638,Equipment state or actuator signal generated by another execution block.
"L_pool_{s,k}",equipment_or_control_state,"Q_pump_pool_{s,k};f_pool_sp_{s,k};fx_s{s}_pool{k}_level",flotation,1638;1640;1698,Equipment state or actuator signal generated by another execution block.
L_pump_pressure,equipment_or_control_state,P_cyc_lag,tower_mill,1312,Equipment state or actuator signal generated by another execution block.
L_ref,parameter,E_level;Entr;capture_j,magnetic,518;523;524,"Calibration, geometry, or tuning parameter; not generated by process equations."
L_refill_low,parameter,event_k6_refill_s,flotation,1512,"Calibration, geometry, or tuning parameter; not generated by process equations."
L_sand_control,equipment_or_control_state,circulating_load_lag,tower_mill,1323,Equipment state or actuator signal generated by another execution block.
L_sp,equipment_or_control_state,f_pump_sp;u_water_sp,tower_mill,1313;1319,Equipment state or actuator signal generated by another execution block.
L_sp_c,equipment_or_control_state,"u_lv_sp_{s,c}",flotation,1582,Equipment state or actuator signal generated by another execution block.
Liberation_fe,stream_or_state_input,Stream;magnetic_difficulty,global;magnetic,1207;159,Upstream stream or dynamic state entering this formula from process topology.
Liberation_fe_discharge_prev,previous_state_reference,Liberation_fe_discharge;Liberation_fe_feed_in,tower_mill,1293;1380,Lagged state supplied by the simulator state store.
Liberation_fe_feed_prev,previous_state_reference,Liberation_fe_feed,tower_mill,1303,Lagged state supplied by the simulator state store.
Liberation_fe_mag_conc,stream_or_state_input,Liberation_fe_feed_in,tower_mill,1293,Upstream stream or dynamic state entering this formula from process topology.
Liberation_gangue,stream_or_state_input,Stream;floatability_difficulty;hydrophobic_potential,flotation;global,1478;159;250,Upstream stream or dynamic state entering this formula from process topology.
Liberation_gangue_discharge_prev,previous_state_reference,Liberation_gangue_discharge;Liberation_gangue_feed_in,tower_mill,1294;1381,Lagged state supplied by the simulator state store.
Liberation_gangue_feed_prev,previous_state_reference,Liberation_gangue_feed,tower_mill,1304,Lagged state supplied by the simulator state store.
Liberation_gangue_mag_conc,stream_or_state_input,Liberation_gangue_feed_in,tower_mill,1294,Upstream stream or dynamic state entering this formula from process topology.
Liberation_gangue_s,stream_or_state_input,"E_lib_g_{s,c};floatability_difficulty_s;froth_stability_{s,c};selectivity_proxy_s",flotation,1566;1598;manual,Upstream stream or dynamic state entering this formula from process topology.
Liberation_j,stream_or_state_input,capture_j,magnetic,518,Upstream stream or dynamic state entering this formula from process topology.
M_NT_over_solid_s,stream_or_state_input,dM_NT_solid_s/dt,flotation,1451,Upstream stream or dynamic state entering this formula from process topology.
M_NT_ref,parameter,C_under_sp_s,flotation,1455,"Calibration, geometry, or tuning parameter; not generated by process equations."
M_NT_solid_ref,parameter,bed_mass_s,flotation,1464,"Calibration, geometry, or tuning parameter; not generated by process equations."
M_NT_solid_s,stream_or_state_input,L_NT_s;bed_mass_s,flotation,1453;1464,Upstream stream or dynamic state entering this formula from process topology.
"M_cell_j_prev_{s,c}",stream_or_state_input,"M_cell_j_{s,c};M_cell_solid_prev_{s,c};froth_j_rate_{s,c};grade_cell_j_{s,c}",flotation,1609;1612;1615;manual,Upstream stream or dynamic state entering this formula from process topology.
M_feed_max,parameter,M_feed_sp,flotation,1622,"Calibration, geometry, or tuning parameter; not generated by process equations."
M_feed_min,parameter,M_feed_sp,flotation,1622,"Calibration, geometry, or tuning parameter; not generated by process equations."
M_feed_nom,parameter,M_feed_sp,flotation,1622,"Calibration, geometry, or tuning parameter; not generated by process equations."
M_feed_solid_tph_s,stream_or_state_input,dose_DF_K6_s;dose_TD_s;dose_cao_kg_t_s;dose_naoh_kg_t_s,flotation,manual,Upstream stream or dynamic state entering this formula from process topology.
"M_froth_fe_carb_lag_{s,c}",stream_or_state_input,"hydrophobic_load_{s,c}",flotation,1534,Upstream stream or dynamic state entering this formula from process topology.
"M_froth_fe_hem_lag_{s,c}",stream_or_state_input,"hydrophobic_load_{s,c}",flotation,1534,Upstream stream or dynamic state entering this formula from process topology.
"M_froth_fe_mag_lag_{s,c}",stream_or_state_input,"hydrophobic_load_{s,c}",flotation,1534,Upstream stream or dynamic state entering this formula from process topology.
"M_froth_fe_sil_lag_{s,c}",stream_or_state_input,"hydrophobic_load_{s,c}",flotation,1534,Upstream stream or dynamic state entering this formula from process topology.
"M_froth_gangue_lag_{s,c}",stream_or_state_input,"hydrophobic_load_{s,c}",flotation,1534,Upstream stream or dynamic state entering this formula from process topology.
M_mag_conc_solid,stream_or_state_input,C_feed_in;F325_feed_in;Liberation_fe_feed_in;Liberation_gangue_feed_in;WI_feed_in,tower_mill,1291;1292;1293;1294;1295,Upstream stream or dynamic state entering this formula from process topology.
M_mag_conc_wet,stream_or_state_input,C_feed_in,tower_mill,1291,Upstream stream or dynamic state entering this formula from process topology.
M_max_i,stream_or_state_input,M_wet_i,boundary,316,Upstream stream or dynamic state entering this formula from process topology.
M_min_i,stream_or_state_input,M_wet_i,boundary,316,Upstream stream or dynamic state entering this formula from process topology.
M_nom_i,stream_or_state_input,C_i;M_wet_i,boundary,316;317,Upstream stream or dynamic state entering this formula from process topology.
M_ref,parameter,"Q_air_sp_{s,c}",flotation,1535,"Calibration, geometry, or tuning parameter; not generated by process equations."
M_solid_1,stream_or_state_input,TFe_mixed;_x_clay_mixed;_x_d3_WI_mixed;_x_r_carb_mixed,boundary,385;388;391;395,Upstream stream or dynamic state entering this formula from process topology.
M_solid_2,stream_or_state_input,TFe_mixed;_x_clay_mixed;_x_d3_WI_mixed;_x_r_carb_mixed,boundary,385;388;391;395,Upstream stream or dynamic state entering this formula from process topology.
M_solid_3,stream_or_state_input,TFe_mixed;_x_clay_mixed;_x_d3_WI_mixed;_x_r_carb_mixed,boundary,385;388;391;395,Upstream stream or dynamic state entering this formula from process topology.
M_solid_s,stream_or_state_input,"I_cell_motor_phys_{s,c}",flotation,1656,Upstream stream or dynamic state entering this formula from process topology.
M_tm_discharge_solid_prev,previous_state_reference,C_feed_in;F325_feed_in;Liberation_fe_feed_in;Liberation_gangue_feed_in;WI_feed_in,tower_mill,1291;1292;1293;1294;1295,Lagged state supplied by the simulator state store.
M_tm_discharge_wet_prev,previous_state_reference,C_feed_in,tower_mill,1291,Lagged state supplied by the simulator state store.
M_tm_overflow_solid_delayed,previous_state_reference,M_NT_in_solid_s,flotation,1447,Lagged state supplied by the simulator state store.
M_tm_overflow_water_delayed,previous_state_reference,M_NT_in_water_s,flotation,1448,Lagged state supplied by the simulator state store.
M_water_1,stream_or_state_input,M_water_mixed,boundary,381,Upstream stream or dynamic state entering this formula from process topology.
M_water_2,stream_or_state_input,M_water_mixed,boundary,381,Upstream stream or dynamic state entering this formula from process topology.
M_water_3,stream_or_state_input,M_water_mixed,boundary,381,Upstream stream or dynamic state entering this formula from process topology.
M_water_add,stream_or_state_input,C_feed_in,tower_mill,1291,Upstream stream or dynamic state entering this formula from process topology.
M_wet_1,stream_or_state_input,M_solid_mixed,boundary,380,Upstream stream or dynamic state entering this formula from process topology.
M_wet_2,stream_or_state_input,M_solid_mixed,boundary,380,Upstream stream or dynamic state entering this formula from process topology.
M_wet_3,stream_or_state_input,M_solid_mixed,boundary,380,Upstream stream or dynamic state entering this formula from process topology.
M_wet_mag_conc,stream_or_state_input,T_slurry_feed_in,tower_mill,1296,Upstream stream or dynamic state entering this formula from process topology.
M_wet_tm_discharge,stream_or_state_input,T_slurry_feed_in,tower_mill,1296,Upstream stream or dynamic state entering this formula from process topology.
N_cyc_on,parameter,P_cyc,tower_mill,1316,"Calibration, geometry, or tuning parameter; not generated by process equations."
N_flush_base,parameter,N_flush_open,magnetic,1255,"Calibration, geometry, or tuning parameter; not generated by process equations."
N_flush_max,parameter,N_flush_open,magnetic,1255,"Calibration, geometry, or tuning parameter; not generated by process equations."
N_flush_min,parameter,N_flush_open,magnetic,1255,"Calibration, geometry, or tuning parameter; not generated by process equations."
NaN,parameter,lab_var,lab,1041,"Calibration, geometry, or tuning parameter; not generated by process equations."
PRBS_TD_s,parameter,dose_need_TD_rough_s,flotation,1491,"Calibration, geometry, or tuning parameter; not generated by process equations."
"PRBS_air_{s,c}",parameter,"Q_air_sp_{s,c}",flotation,1535,"Calibration, geometry, or tuning parameter; not generated by process equations."
PRBS_feed_rate,parameter,M_feed_sp,flotation,1622,"Calibration, geometry, or tuning parameter; not generated by process equations."
PRBS_mag_I,parameter,I_exc_sp,magnetic,1214,"Calibration, geometry, or tuning parameter; not generated by process equations."
PRBS_pH_s,parameter,pH_sp_s,flotation,1520,"Calibration, geometry, or tuning parameter; not generated by process equations."
PRBS_sand,parameter,u_sand_sp,tower_mill,1324,"Calibration, geometry, or tuning parameter; not generated by process equations."
P_amb_pressure,equipment_or_control_state,"DeltaP_blower_Pa_b;P_cell_{s,c}",flotation,1550;1554,Equipment state or actuator signal generated by another execution block.
P_blower_pressure_max_b,equipment_or_control_state,P_blower_curve_b;P_blower_pressure_b,flotation,1546;1549,Equipment state or actuator signal generated by another execution block.
P_blower_pressure_min_b,equipment_or_control_state,P_blower_curve_b;P_blower_pressure_b,flotation,1546;1549,Equipment state or actuator signal generated by another execution block.
"P_cell_motor_{1,c}",equipment_or_control_state,sum_cell_power_s1,flotation,1664,Equipment state or actuator signal generated by another execution block.
"P_cell_motor_{2,c}",equipment_or_control_state,sum_cell_power_s2,flotation,1665,Equipment state or actuator signal generated by another execution block.
"P_drug_pump_{1,j}",equipment_or_control_state,sum_drug_power_s1,flotation,1668,Equipment state or actuator signal generated by another execution block.
"P_drug_pump_{2,j}",equipment_or_control_state,sum_drug_power_s2,flotation,1669,Equipment state or actuator signal generated by another execution block.
P_header_max,parameter,P_header_sp;P_header_ss,flotation,1537;1547,"Calibration, geometry, or tuning parameter; not generated by process equations."
