formula_id,stage,source_v4_line,source_v4_section,lhs,rhs,formula_line,parents,state_type,formula_role,observable,status,notes
V5_0017,flotation,1595,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,"E_air_{s,c}","sigmoid(k1_c*(Q_air_{s,c}-Q_air_low_c))*sigmoid(k2_c*(Q_air_high_c-Q_air_{s,c}))","E_air_{s,c}=sigmoid(k1_c*(Q_air_{s,c}-Q_air_low_c))*sigmoid(k2_c*(Q_air_high_c-Q_air_{s,c}))","k1_c;Q_air_{s,c};Q_air_low_c;k2_c;Q_air_high_c",derived,executable,no,canonical,
V5_0019,flotation,1592,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,"E_collector_{s,c}",sigmoid(a1_c*(dose_TD_effective_s-dose_low_c))*sigmoid(a2_c*(dose_high_c-dose_TD_effective_s)),"E_collector_{s,c}=sigmoid(a1_c*(dose_TD_effective_s-dose_low_c))*sigmoid(a2_c*(dose_high_c-dose_TD_effective_s))",a1_c;dose_TD_effective_s;dose_low_c;a2_c;dose_high_c,derived,executable,no,canonical,
V5_0021,flotation,1596,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,"E_density_{s,c}",exp(-((C_s-C_opt_c)/sigma_C_c)^2),"E_density_{s,c}=exp(-((C_s-C_opt_c)/sigma_C_c)^2)",C_s;C_opt_c;sigma_C_c,derived,executable,no,canonical,
V5_0023,flotation,1593,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,"E_depressant_{s,c}",sigmoid(kK6_c*(dose_DF_K6_effective_s-dose_K6_ref_c)),"E_depressant_{s,c}=sigmoid(kK6_c*(dose_DF_K6_effective_s-dose_K6_ref_c))",kK6_c;dose_DF_K6_effective_s;dose_K6_ref_c,derived,executable,no,canonical,
V5_0024,magnetic,523,5. 磁选因果模型 / 5.3 分选公式,E_level,exp(-((L_mag-L_ref)/sigma_L)^2),E_level=exp(-((L_mag-L_ref)/sigma_L)^2),L_mag;L_ref;sigma_L,derived,executable,no,manual_promoted,Manually promoted from concept/reference coverage review into executable formulas.
V5_0026,flotation,1598,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,"E_lib_g_{s,c}",0.25+0.75*Liberation_gangue_s,"E_lib_g_{s,c}=0.25+0.75*Liberation_gangue_s",Liberation_gangue_s,derived,executable,no,canonical,
V5_0028,flotation,1599,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,"E_mu_{s,c}",exp(-k_mu_float_c*(mu_slurry_s-mu_ref)),"E_mu_{s,c}=exp(-k_mu_float_c*(mu_slurry_s-mu_ref))",k_mu_float_c;mu_slurry_s;mu_ref,derived,executable,no,canonical,
V5_0030,flotation,1594,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,"E_pH_{s,c}",exp(-((pH_s-pH_opt_c)/sigma_pH_c)^2),"E_pH_{s,c}=exp(-((pH_s-pH_opt_c)/sigma_pH_c)^2)",pH_s;pH_opt_c;sigma_pH_c,derived,executable,no,canonical,
V5_0031,magnetic,521,5. 磁选因果模型 / 5.3 分选公式,E_pulse,exp(-((f_pul-f_pul_opt)/sigma_pul)^2),E_pulse=exp(-((f_pul-f_pul_opt)/sigma_pul)^2),f_pul;f_pul_opt;sigma_pul,derived,executable,no,manual_promoted,Manually promoted from concept/reference coverage review into executable formulas.
V5_0032,magnetic,522,5. 磁选因果模型 / 5.3 分选公式,E_ring,exp(-((f_ring-f_ring_opt)/sigma_ring)^2)*(1-k_clog*matrix_clog),E_ring=exp(-((f_ring-f_ring_opt)/sigma_ring)^2)*(1-k_clog*matrix_clog),f_ring;f_ring_opt;sigma_ring;k_clog;matrix_clog,derived,executable,no,manual_promoted,Manually promoted from concept/reference coverage review into executable formulas.
V5_0034,flotation,1597,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,"E_size_{s,c}",sigmoid(k_size_c*(F325_s-F325_min_c)),"E_size_{s,c}=sigmoid(k_size_c*(F325_s-F325_min_c))",k_size_c;F325_s;F325_min_c,derived,executable,no,canonical,
V5_0035,tower_mill,1373,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,E_spec,"P_mech/max(M_sand,eps)","E_spec = P_mech/max(M_sand,eps)",P_mech;M_sand,derived,executable,no,canonical,
V5_0036,magnetic,524,5. 磁选因果模型 / 5.3 分选公式,Entr,"clip( e0 + eC*C + ef25*f25 + eclay*clay + eL*(L_mag-L_ref) - e_pul*(f_pul-f_pul_min)/max(f_pul_ref,eps), 0,e_max)","Entr=clip( e0 + eC*C + ef25*f25 + eclay*clay + eL*(L_mag-L_ref) - e_pul*(f_pul-f_pul_min)/max(f_pul_ref,eps), 0,e_max)",e0;eC;ef25;f25;eclay;clay;eL;L_mag;L_ref;e_pul;f_pul;f_pul_min;f_pul_ref;e_max,derived,executable,no,manual_promoted,Manually promoted from concept/reference coverage review into executable formulas.
V5_0037,boundary,332,4. 入口边界因果模型 / ,F200_i,sigmoid(logit(F200_i)),F200_i=sigmoid(logit(F200_i)),logit,derived,executable,no,canonical,
V5_0038,boundary,406,4. 入口边界因果模型 / ,F200_mixed,"sum_i(M_solid_i*F200_i)/max(M_solid_mixed,eps)","F200_mixed = sum_i(M_solid_i*F200_i)/max(M_solid_mixed,eps)",M_solid_i;F200_i;M_solid_mixed,derived,executable,no,canonical,
V5_0039,tower_mill,1379,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,F325_discharge,"F325_discharge_prev+(dt/max(tau_mill_residence,eps))*(F325_discharge_inst-F325_discharge_prev)","F325_discharge = F325_discharge_prev+(dt/max(tau_mill_residence,eps))*(F325_discharge_inst-F325_discharge_prev)",F325_discharge_prev;tau_mill_residence;F325_discharge_inst,derived,executable,no,canonical,
V5_0040,tower_mill,1374,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,F325_discharge_inst,"clip(F325_sand+kE*log1p(E_spec/max(WI_mill,eps))-k_over*f25,0,1)","F325_discharge_inst = clip(F325_sand+kE*log1p(E_spec/max(WI_mill,eps))-k_over*f25,0,1)",F325_sand;kE;E_spec;WI_mill;k_over;f25,derived,executable,no,canonical,
V5_0041,tower_mill,1302,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,F325_feed,"F325_feed_prev+(dt/max(tau_cyc_pool,eps))*(F325_feed_in-F325_feed_prev)","F325_feed = F325_feed_prev+(dt/max(tau_cyc_pool,eps))*(F325_feed_in-F325_feed_prev)",F325_feed_prev;tau_cyc_pool;F325_feed_in,derived,executable,no,canonical,
V5_0042,tower_mill,1292,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,F325_feed_in,"(M_mag_conc_solid*F325_mag_conc+M_tm_discharge_solid_prev*F325_discharge_prev)/max(M_mag_conc_solid+M_tm_discharge_solid_prev,eps)","F325_feed_in = (M_mag_conc_solid*F325_mag_conc+M_tm_discharge_solid_prev*F325_discharge_prev)/max(M_mag_conc_solid+M_tm_discharge_solid_prev,eps)",M_mag_conc_solid;F325_mag_conc;M_tm_discharge_solid_prev;F325_discharge_prev,derived,executable,no,canonical,
V5_0043,boundary,333,4. 入口边界因果模型 / ,F325_i,"F(45e-6;d80_i,n_rr)","F325_i=F(45e-6;d80_i,n_rr)",e;d80_i;n_rr,derived,executable,no,canonical,
V5_0044,boundary,407,4. 入口边界因果模型 / ,F325_mixed,"sum_i(M_solid_i*F325_i)/max(M_solid_mixed,eps)","F325_mixed = sum_i(M_solid_i*F325_i)/max(M_solid_mixed,eps)",M_solid_i;F325_i;M_solid_mixed,derived,executable,no,canonical,
V5_0045,tower_mill,1345,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,F325_overflow,"clip(F325_feed*k_fine_enrich/max(alpha_ov,eps),F325_feed,1.0)","F325_overflow = clip(F325_feed*k_fine_enrich/max(alpha_ov,eps),F325_feed,1.0)",F325_feed;k_fine_enrich;alpha_ov,derived,executable,no,canonical,
V5_0046,tower_mill,1348,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,F325_sand,"clip((F325_feed-F325_overflow*alpha_ov)/max(1-alpha_ov,eps),0,F325_feed)","F325_sand = clip((F325_feed-F325_overflow*alpha_ov)/max(1-alpha_ov,eps),0,F325_feed)",F325_feed;F325_overflow;alpha_ov,derived,executable,no,canonical,
V5_0047,boundary,346,4. 入口边界因果模型 / ,FeO_proxy_i,k_feo_mag*Fe_mag_i+k_feo_carb*Fe_carb_i+k_feo_hem*Fe_hem_i+k_feo_sil*Fe_sil_i,FeO_proxy_i=k_feo_mag*Fe_mag_i+k_feo_carb*Fe_carb_i+k_feo_hem*Fe_hem_i+k_feo_sil*Fe_sil_i,k_feo_mag;Fe_mag_i;k_feo_carb;Fe_carb_i;k_feo_hem;Fe_hem_i;k_feo_sil;Fe_sil_i,derived,executable,no,canonical,
V5_0048,boundary,343,4. 入口边界因果模型 / ,Fe_carb_i,Fe_total_i*r_carb_i,Fe_carb_i=Fe_total_i*r_carb_i,Fe_total_i;r_carb_i,derived,executable,no,canonical,
V5_0049,boundary,342,4. 入口边界因果模型 / ,Fe_hem_i,Fe_total_i*r_hem_i,Fe_hem_i=Fe_total_i*r_hem_i,Fe_total_i;r_hem_i,derived,executable,no,canonical,
V5_0050,boundary,341,4. 入口边界因果模型 / ,Fe_mag_i,Fe_total_i*r_mag_i,Fe_mag_i=Fe_total_i*r_mag_i,Fe_total_i;r_mag_i,derived,executable,no,canonical,
V5_0051,boundary,344,4. 入口边界因果模型 / ,Fe_sil_i,Fe_total_i*r_sil_i,Fe_sil_i=Fe_total_i*r_sil_i,Fe_total_i;r_sil_i,derived,executable,no,canonical,
V5_0052,global,177,2. 全局变量分类 / 2.2 隐藏物料状态,Fe_total,Fe_mag+Fe_hem+Fe_carb+Fe_sil,Fe_total = Fe_mag+Fe_hem+Fe_carb+Fe_sil,Fe_mag;Fe_hem;Fe_carb;Fe_sil,derived,definition,no,canonical,
V5_0053,boundary,340,4. 入口边界因果模型 / ,Fe_total_i,M_solid_i*TFe_i,Fe_total_i=M_solid_i*TFe_i,M_solid_i;TFe_i,derived,executable,no,canonical,
V5_0054,boundary,345,4. 入口边界因果模型 / ,Gangue_i,M_solid_i-Fe_total_i,Gangue_i=M_solid_i-Fe_total_i,M_solid_i;Fe_total_i,derived,executable,no,canonical,
V5_0056,flotation,1465,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,I_NT_s,"I0_NT+kM_NT*M_NT_under_solid_s+kmu_NT*mu_under_s+kbed_NT*max(bed_mass_s,0)","I_NT_s = I0_NT+kM_NT*M_NT_under_solid_s+kmu_NT*mu_under_s+kbed_NT*max(bed_mass_s,0)",I0_NT;kM_NT;M_NT_under_solid_s;kmu_NT;mu_under_s;kbed_NT;bed_mass_s,equipment_signal,executable,no,canonical,
V5_0057,flotation,1552,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,I_blower_phys_b,"1000*P_blower_shaft_kW_b/max(sqrt(3)*V_blower_b*pf_blower_b*eta_blower_motor_b,eps)","I_blower_phys_b = 1000*P_blower_shaft_kW_b/max(sqrt(3)*V_blower_b*pf_blower_b*eta_blower_motor_b,eps)",P_blower_shaft_kW_b;V_blower_b;pf_blower_b;eta_blower_motor_b,equipment_signal,executable,no,canonical,
V5_0058,flotation,1656,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,"I_cell_motor_phys_{s,c}","I0_cell_c+krho_cell_c*rho_slurry_s+kmu_cell_c*mu_slurry_s+kair_cell_c*Q_air_{s,c}+kload_cell_c*M_solid_s","I_cell_motor_phys_{s,c}=I0_cell_c+krho_cell_c*rho_slurry_s+kmu_cell_c*mu_slurry_s+kair_cell_c*Q_air_{s,c}+kload_cell_c*M_solid_s","I0_cell_c;krho_cell_c;rho_slurry_s;kmu_cell_c;mu_slurry_s;kair_cell_c;Q_air_{s,c};kload_cell_c;M_solid_s",equipment_signal,executable,no,canonical,
V5_0059,flotation,1501,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,"I_drug_j_phys_{s,j}","I0_j+kf_j*f_{s,j}+kvis_j*reagent_viscosity_{s,j}+kpress_j*reagent_supply_pressure_j","I_drug_j_phys_{s,j} = I0_j+kf_j*f_{s,j}+kvis_j*reagent_viscosity_{s,j}+kpress_j*reagent_supply_pressure_j","I0_j;kf_j;f_{s,j};kvis_j;reagent_viscosity_{s,j};kpress_j;reagent_supply_pressure_j",equipment_signal,executable,no,canonical,
V5_0060,magnetic,1215,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,I_exc,I_exc_sp+(I_exc_prev-I_exc_sp)*exp(-dt/tau_exc_act),I_exc = I_exc_sp+(I_exc_prev-I_exc_sp)*exp(-dt/tau_exc_act),I_exc_sp;I_exc_prev;tau_exc_act,equipment_signal,executable,no,canonical,
V5_0061,magnetic,1214,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,I_exc_sp,"clip(I_nom+Kdiff_I*magnetic_difficulty-Kmag_I*(r_mag-r_mag_ref)+operator_trim_I+PRBS_mag_I,I_min,I_max)","I_exc_sp = clip(I_nom+Kdiff_I*magnetic_difficulty-Kmag_I*(r_mag-r_mag_ref)+operator_trim_I+PRBS_mag_I,I_min,I_max)",I_nom;Kdiff_I;magnetic_difficulty;Kmag_I;r_mag;r_mag_ref;operator_trim_I;PRBS_mag_I;I_min;I_max,setpoint,executable,no,canonical,
V5_0062,flotation,1651,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,"I_mixer_phys_{s,k}",I_idle_mixer_k+k_C_mixer_k*C_s+k_mu_mixer_k*mu_slurry_s,"I_mixer_phys_{s,k}=I_idle_mixer_k+k_C_mixer_k*C_s+k_mu_mixer_k*mu_slurry_s",I_idle_mixer_k;k_C_mixer_k;C_s;k_mu_mixer_k;mu_slurry_s,equipment_signal,executable,no,canonical,
V5_0063,tower_mill,1404,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,I_ov_pump_phys,I0_ov+kf_ov*f_ov_pump_sp^2+kQ_ov*Q_ov_pump+krho_ov*rho_overflow,I_ov_pump_phys = I0_ov+kf_ov*f_ov_pump_sp^2+kQ_ov*Q_ov_pump+krho_ov*rho_overflow,I0_ov;kf_ov;f_ov_pump_sp;kQ_ov;Q_ov_pump;krho_ov;rho_overflow,physical_signal,executable,no,canonical,
V5_0064,flotation,1641,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,"I_pool_phys_{s,k}","I0_pool_k+kf_pool_k*f_pool_{s,k}^2+kQ_pool_k*Q_pump_pool_{s,k}+krho_pool_k*rho_slurry_s+kmu_pool_k*mu_slurry_s+kH_pool_k*H_pool_k","I_pool_phys_{s,k}=I0_pool_k+kf_pool_k*f_pool_{s,k}^2+kQ_pool_k*Q_pump_pool_{s,k}+krho_pool_k*rho_slurry_s+kmu_pool_k*mu_slurry_s+kH_pool_k*H_pool_k","I0_pool_k;kf_pool_k;f_pool_{s,k};kQ_pool_k;Q_pump_pool_{s,k};krho_pool_k;rho_slurry_s;kmu_pool_k;mu_slurry_s;kH_pool_k;H_pool_k",equipment_signal,executable,no,canonical,
V5_0066,tower_mill,1317,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,I_pump_phys,I0_pump+kf_pump*f_pump^2+kQ_pump*Q_pump+krho_pump*rho_feed+kmu_pump*mu_feed+kP_pump*P_cyc,I_pump_phys = I0_pump+kf_pump*f_pump^2+kQ_pump*Q_pump+krho_pump*rho_feed+kmu_pump*mu_feed+kP_pump*P_cyc,I0_pump;kf_pump;f_pump;kQ_pump;Q_pump;krho_pump;rho_feed;kmu_pump;mu_feed;kP_pump;P_cyc,physical_signal,executable,no,canonical,
V5_0067,magnetic,1264,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,I_ring_motor_phys,"I0_ring+kf_ring*f_ring+krho_ring*rho_slurry+kclog_ring_I*matrix_clog+kQ_ring*Q_feed/max(Q_ref,eps)","I_ring_motor_phys = I0_ring+kf_ring*f_ring+krho_ring*rho_slurry+kclog_ring_I*matrix_clog+kQ_ring*Q_feed/max(Q_ref,eps)",I0_ring;kf_ring;f_ring;krho_ring;rho_slurry;kclog_ring_I;matrix_clog;kQ_ring;Q_feed;Q_ref,physical_signal,executable,no,canonical,
V5_0069,tower_mill,1371,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,I_tm_phys,P_mech/(sqrt(3)*V_motor*pf*eta),I_tm_phys = P_mech/(sqrt(3)*V_motor*pf*eta),P_mech;V_motor;pf;eta,physical_signal,executable,no,canonical,
V5_0071,flotation,1453,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,L_NT_s,(M_NT_solid_s/rho_solid_mix_s+V_NT_water_s)/A_NT_s,L_NT_s = (M_NT_solid_s/rho_solid_mix_s+V_NT_water_s)/A_NT_s,M_NT_solid_s;rho_solid_mix_s;V_NT_water_s;A_NT_s,state,executable,no,canonical,
V5_0073,flotation,1561,10. DCS 具体生成公式和代理防护 / 10.4 浮选 DCS 具体公式,"L_cell_aerated_{s,c}","L_cell_{s,c}/max(1-gas_holdup_{s,c},eps)","L_cell_aerated_{s,c}=L_cell_{s,c}/max(1-gas_holdup_{s,c},eps)","L_cell_{s,c};gas_holdup_{s,c}",state,executable,no,canonical,
V5_0074,tower_mill,1380,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,Liberation_fe_discharge,"Liberation_fe_discharge_prev+(dt/max(tau_mill_residence,eps))*(Liberation_fe_discharge_inst-Liberation_fe_discharge_prev)","Liberation_fe_discharge = Liberation_fe_discharge_prev+(dt/max(tau_mill_residence,eps))*(Liberation_fe_discharge_inst-Liberation_fe_discharge_prev)",Liberation_fe_discharge_prev;tau_mill_residence;Liberation_fe_discharge_inst,derived,executable,no,canonical,
V5_0075,tower_mill,1375,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,Liberation_fe_discharge_inst,"clip(Liberation_fe_sand+k_lib_fe*(E_spec/max(WI_mill,eps))*liberation_potential*(1-Liberation_fe_sand),0,1)","Liberation_fe_discharge_inst = clip(Liberation_fe_sand+k_lib_fe*(E_spec/max(WI_mill,eps))*liberation_potential*(1-Liberation_fe_sand),0,1)",Liberation_fe_sand;k_lib_fe;E_spec;WI_mill;liberation_potential,derived,executable,no,canonical,
V5_0076,tower_mill,1303,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,Liberation_fe_feed,"Liberation_fe_feed_prev+(dt/max(tau_cyc_pool,eps))*(Liberation_fe_feed_in-Liberation_fe_feed_prev)","Liberation_fe_feed = Liberation_fe_feed_prev+(dt/max(tau_cyc_pool,eps))*(Liberation_fe_feed_in-Liberation_fe_feed_prev)",Liberation_fe_feed_prev;tau_cyc_pool;Liberation_fe_feed_in,derived,executable,no,canonical,
V5_0077,tower_mill,1293,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,Liberation_fe_feed_in,"(M_mag_conc_solid*Liberation_fe_mag_conc+M_tm_discharge_solid_prev*Liberation_fe_discharge_prev)/max(M_mag_conc_solid+M_tm_discharge_solid_prev,eps)","Liberation_fe_feed_in = (M_mag_conc_solid*Liberation_fe_mag_conc+M_tm_discharge_solid_prev*Liberation_fe_discharge_prev)/max(M_mag_conc_solid+M_tm_discharge_solid_prev,eps)",M_mag_conc_solid;Liberation_fe_mag_conc;M_tm_discharge_solid_prev;Liberation_fe_discharge_prev,derived,executable,no,canonical,
V5_0078,boundary,361,4. 入口边界因果模型 / ,Liberation_fe_i,"clip( L0_fe - k_L_wi*(WI_i-WI_ref) - k_L_size*(1-F200_i) - k_L_clay*clay_i, 0.1,0.8)","Liberation_fe_i = clip( L0_fe - k_L_wi*(WI_i-WI_ref) - k_L_size*(1-F200_i) - k_L_clay*clay_i, 0.1,0.8)",L0_fe;k_L_wi;WI_i;WI_ref;k_L_size;F200_i;k_L_clay;clay_i,derived,executable,no,canonical,
V5_0079,boundary,409,4. 入口边界因果模型 / ,Liberation_fe_mixed,"sum_i(M_solid_i*Liberation_fe_i)/max(M_solid_mixed,eps)","Liberation_fe_mixed = sum_i(M_solid_i*Liberation_fe_i)/max(M_solid_mixed,eps)",M_solid_i;Liberation_fe_i;M_solid_mixed,derived,executable,no,canonical,
V5_0080,tower_mill,1346,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,Liberation_fe_overflow,"clip(Liberation_fe_feed*k_lib_fe_enrich,Liberation_fe_feed,1.0)","Liberation_fe_overflow = clip(Liberation_fe_feed*k_lib_fe_enrich,Liberation_fe_feed,1.0)",Liberation_fe_feed;k_lib_fe_enrich,derived,executable,no,canonical,
V5_0081,tower_mill,1349,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,Liberation_fe_sand,"clip((Liberation_fe_feed-Liberation_fe_overflow*alpha_ov)/max(1-alpha_ov,eps),0,Liberation_fe_feed)","Liberation_fe_sand = clip((Liberation_fe_feed-Liberation_fe_overflow*alpha_ov)/max(1-alpha_ov,eps),0,Liberation_fe_feed)",Liberation_fe_feed;Liberation_fe_overflow;alpha_ov,derived,executable,no,canonical,
V5_0082,tower_mill,1381,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,Liberation_gangue_discharge,"Liberation_gangue_discharge_prev+(dt/max(tau_mill_residence,eps))*(Liberation_gangue_discharge_inst-Liberation_gangue_discharge_prev)","Liberation_gangue_discharge = Liberation_gangue_discharge_prev+(dt/max(tau_mill_residence,eps))*(Liberation_gangue_discharge_inst-Liberation_gangue_discharge_prev)",Liberation_gangue_discharge_prev;tau_mill_residence;Liberation_gangue_discharge_inst,derived,executable,no,canonical,
V5_0083,tower_mill,1376,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,Liberation_gangue_discharge_inst,"clip(Liberation_gangue_sand+k_lib_g*(E_spec/max(WI_mill,eps))*liberation_potential*(1-Liberation_gangue_sand),0,1)","Liberation_gangue_discharge_inst = clip(Liberation_gangue_sand+k_lib_g*(E_spec/max(WI_mill,eps))*liberation_potential*(1-Liberation_gangue_sand),0,1)",Liberation_gangue_sand;k_lib_g;E_spec;WI_mill;liberation_potential,derived,executable,no,canonical,
V5_0084,tower_mill,1304,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,Liberation_gangue_feed,"Liberation_gangue_feed_prev+(dt/max(tau_cyc_pool,eps))*(Liberation_gangue_feed_in-Liberation_gangue_feed_prev)","Liberation_gangue_feed = Liberation_gangue_feed_prev+(dt/max(tau_cyc_pool,eps))*(Liberation_gangue_feed_in-Liberation_gangue_feed_prev)",Liberation_gangue_feed_prev;tau_cyc_pool;Liberation_gangue_feed_in,derived,executable,no,canonical,
V5_0085,tower_mill,1294,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,Liberation_gangue_feed_in,"(M_mag_conc_solid*Liberation_gangue_mag_conc+M_tm_discharge_solid_prev*Liberation_gangue_discharge_prev)/max(M_mag_conc_solid+M_tm_discharge_solid_prev,eps)","Liberation_gangue_feed_in = (M_mag_conc_solid*Liberation_gangue_mag_conc+M_tm_discharge_solid_prev*Liberation_gangue_discharge_prev)/max(M_mag_conc_solid+M_tm_discharge_solid_prev,eps)",M_mag_conc_solid;Liberation_gangue_mag_conc;M_tm_discharge_solid_prev;Liberation_gangue_discharge_prev,derived,executable,no,canonical,
