lhs,v4_line,v4_section,formula_line,canonical_v4_line,canonical_formula_line,suggested_action
f_pul_sp,483,5. 磁选因果模型 / 5.2 控制设定不得孤立,"f_pul_sp=clip(f_pul_nom + Kcoarse_pul*(1-F325) + Kclay_pul*clay + Kslime_pul*f25 + Kload_pul*(Q_feed-Q_ref) + operator_trim_pul, f_pul_min,f_pul_max)",1234,"f_pul_sp = clip(f_pul_nom+Kcoarse_pul*(1-F325)+Kclay_pul*clay+Kslime_pul*f25+Kload_pul*(Q_feed-Q_ref)/max(Q_ref,eps),f_pul_min,f_pul_max)",supersede_or_merge
f_pul_sp,1234,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,"f_pul_sp = clip(f_pul_nom+Kcoarse_pul*(1-F325)+Kclay_pul*clay+Kslime_pul*f25+Kload_pul*(Q_feed-Q_ref)/max(Q_ref,eps),f_pul_min,f_pul_max)",1234,"f_pul_sp = clip(f_pul_nom+Kcoarse_pul*(1-F325)+Kclay_pul*clay+Kslime_pul*f25+Kload_pul*(Q_feed-Q_ref)/max(Q_ref,eps),f_pul_min,f_pul_max)",keep_canonical
f_pump,572,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,"f_pump=sat_act(f_pump_sp,f_min,f_max,tau_pump)",1314,f_pump = f_pump_sp+(f_pump_prev-f_pump_sp)*exp(-dt/tau_pump_act),supersede_or_merge
f_pump,1314,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,f_pump = f_pump_sp+(f_pump_prev-f_pump_sp)*exp(-dt/tau_pump_act),1314,f_pump = f_pump_sp+(f_pump_prev-f_pump_sp)*exp(-dt/tau_pump_act),keep_canonical
f_pump_sp,571,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,"f_pump_sp=clip(f0+Kp_L*(L_pool-L_sp)+Kp_P*(P_sp-P_cyc_lag)+Kff_Q*Q_in,f_min,f_max)",1313,"f_pump_sp = clip(f0+K_L*(L_pool-L_sp)+K_P*(P_sp-P_cyc_lag)+K_Qff*Q_in,f_min,f_max)",supersede_or_merge
f_pump_sp,1313,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,"f_pump_sp = clip(f0+K_L*(L_pool-L_sp)+K_P*(P_sp-P_cyc_lag)+K_Qff*Q_in,f_min,f_max)",1313,"f_pump_sp = clip(f0+K_L*(L_pool-L_sp)+K_P*(P_sp-P_cyc_lag)+K_Qff*Q_in,f_min,f_max)",keep_canonical
f_ring,512,5. 磁选因果模型 / 5.2 控制设定不得孤立,"f_ring=sat_act(f_ring_sp,f_ring_min,f_ring_max,tau_ring)",1237,f_ring = f_ring_sp+(f_ring_prev-f_ring_sp)*exp(-dt/tau_ring_act),supersede_or_merge
f_ring,1237,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,f_ring = f_ring_sp+(f_ring_prev-f_ring_sp)*exp(-dt/tau_ring_act),1237,f_ring = f_ring_sp+(f_ring_prev-f_ring_sp)*exp(-dt/tau_ring_act),keep_canonical
f_ring_sp,507,5. 磁选因果模型 / 5.2 控制设定不得孤立,"f_ring_sp=clip(f_ring_nom + Kclog_ring*matrix_clog + Kcoarse_ring*(1-F200) + operator_trim_ring, f_ring_min,f_ring_max)",1235,"f_ring_sp = clip(f_ring_nom+Kclog_ring*matrix_clog+Kcoarse_ring*(1-F200),f_ring_min,f_ring_max)",supersede_or_merge
f_ring_sp,1235,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,"f_ring_sp = clip(f_ring_nom+Kclog_ring*matrix_clog+Kcoarse_ring*(1-F200),f_ring_min,f_ring_max)",1235,"f_ring_sp = clip(f_ring_nom+Kclog_ring*matrix_clog+Kcoarse_ring*(1-F200),f_ring_min,f_ring_max)",keep_canonical
grind_difficulty,641,6. 塔磨与旋流器因果模型 / 6.3 塔磨功耗和解离,grind_difficulty = kWI*(WI_mill-WI_ref) + kcoarse*(1-F325_sand) + kC*(C_mill-C_opt)^2 + kmu*(mu_slurry-mu_ref) + kCL*(circulating_load-CL_ref),1363,grind_difficulty = kWI*(WI_mill-WI_ref) + kcoarse*(1-F325_sand) + kC*(C_mill-C_opt)^2 + kmu*(mu_feed-mu_ref) + kCL*(circulating_load-CL_ref),supersede_or_merge
grind_difficulty,1363,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,grind_difficulty = kWI*(WI_mill-WI_ref) + kcoarse*(1-F325_sand) + kC*(C_mill-C_opt)^2 + kmu*(mu_feed-mu_ref) + kCL*(circulating_load-CL_ref),1363,grind_difficulty = kWI*(WI_mill-WI_ref) + kcoarse*(1-F325_sand) + kC*(C_mill-C_opt)^2 + kmu*(mu_feed-mu_ref) + kCL*(circulating_load-CL_ref),keep_canonical
magnetic_difficulty,461,5. 磁选因果模型 / 5.2 控制设定不得孤立,magnetic_difficulty = w_low_mag*(r_mag_ref-r_mag) + w_low_lib*(1-Liberation_fe) + w_coarse*(1-F200) + w_load*(Q_feed-Q_ref) + w_carb*r_carb + w_sil*r_sil,1207,"magnetic_difficulty = w_low_mag*clip(r_mag_ref-r_mag,0,1) + w_low_lib*(1-Liberation_fe) + w_coarse*(1-F200) + w_load*(Q_feed-Q_ref)/max(Q_ref,eps) + w_harmful*(r_carb+r_sil)",supersede_or_merge
magnetic_difficulty,1207,10. DCS 具体生成公式和代理防护 / 10.2 磁选 DCS 具体公式,"magnetic_difficulty = w_low_mag*clip(r_mag_ref-r_mag,0,1) + w_low_lib*(1-Liberation_fe) + w_coarse*(1-F200) + w_load*(Q_feed-Q_ref)/max(Q_ref,eps) + w_harmful*(r_carb+r_sil)",1207,"magnetic_difficulty = w_low_mag*clip(r_mag_ref-r_mag,0,1) + w_low_lib*(1-Liberation_fe) + w_coarse*(1-F200) + w_load*(Q_feed-Q_ref)/max(Q_ref,eps) + w_harmful*(r_carb+r_sil)",keep_canonical
rho_overflow,611,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,"rho_overflow = (M_overflow_solid+M_overflow_water)/max(Q_overflow,eps)",1340,"rho_overflow = (M_tm_overflow_solid+M_tm_overflow_water)/max(Q_overflow,eps)",supersede_or_merge
rho_overflow,1340,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,"rho_overflow = (M_tm_overflow_solid+M_tm_overflow_water)/max(Q_overflow,eps)",1340,"rho_overflow = (M_tm_overflow_solid+M_tm_overflow_water)/max(Q_overflow,eps)",keep_canonical
tau_cyc_pool,581,6. 塔磨与旋流器因果模型 / 6.2 泵池与旋流器,"tau_cyc_pool=max(L_pool*A_pool/max(Q_pump,eps),min_tau_cyc_pool)",1290,"tau_cyc_pool = max(L_pool*A_pool/max(Q_pump_prev,eps),min_tau_cyc_pool)",supersede_or_merge
tau_cyc_pool,1290,10. DCS 具体生成公式和代理防护 / 10.3 塔磨 DCS 具体公式,"tau_cyc_pool = max(L_pool*A_pool/max(Q_pump_prev,eps),min_tau_cyc_pool)",1290,"tau_cyc_pool = max(L_pool*A_pool/max(Q_pump_prev,eps),min_tau_cyc_pool)",keep_canonical
