formula_id,line,h2,h3,block_start_line,fence_lang,lhs,rhs_excerpt,formula_line
F0011_177,177,2. 全局变量分类,2.2 隐藏物料状态,176,text,Fe_total,Fe_mag+Fe_hem+Fe_carb+Fe_sil,Fe_total = Fe_mag+Fe_hem+Fe_carb+Fe_sil
F0011_178,178,2. 全局变量分类,2.2 隐藏物料状态,176,text,M_solid,Fe_total+Gangue,M_solid = Fe_total+Gangue
F0011_179,179,2. 全局变量分类,2.2 隐藏物料状态,176,text,TFe,"Fe_total/max(M_solid,eps)","TFe = Fe_total/max(M_solid,eps)"
F0012_185,185,2. 全局变量分类,2.2 隐藏物料状态,184,text,rho_solid_mix,"M_solid / max( Fe_mag/rho_fe_mag + Fe_hem/rho_fe_hem + Fe_carb/rho_fe_carb + Fe_sil/rho_fe_sil + Gangue/rho_gangue, eps)","rho_solid_mix = M_solid / max( Fe_mag/rho_fe_mag + Fe_hem/rho_fe_hem + Fe_carb/rho_fe_carb + Fe_sil/rho_fe_sil + Gangue/rho_gangue, eps)"
F0013_198,198,2. 全局变量分类,2.2 隐藏物料状态,197,text,M_wet,"M_solid/max(C,eps)","M_wet = M_solid/max(C,eps)"
F0013_199,199,2. 全局变量分类,2.2 隐藏物料状态,197,text,M_water,M_wet-M_solid,M_water = M_wet-M_solid
F0013_200,200,2. 全局变量分类,2.2 隐藏物料状态,197,text,V_slurry,M_solid/rho_solid_mix + M_water/rho_water,V_slurry = M_solid/rho_solid_mix + M_water/rho_water
F0013_201,201,2. 全局变量分类,2.2 隐藏物料状态,197,text,rho_slurry,"M_wet/max(V_slurry,eps)","rho_slurry = M_wet/max(V_slurry,eps)"
F0014_207,207,2. 全局变量分类,2.2 隐藏物料状态,206,text,mu_slurry,mu_water * exp(k_C_mu*C/(1-C+eps)) * (1+k_clay_mu*clay) * (1+k_f25_mu*f25) * (1+k_sil_mu*r_sil) * exp(k_temp_mu*(T_ref-T_slurry)),mu_slurry = mu_water * exp(k_C_mu*C/(1-C+eps)) * (1+k_clay_mu*clay) * (1+k_f25_mu*f25) * (1+k_sil_mu*r_sil) * exp(k_temp_mu*(T_ref-T_slurry))
F0015_218,218,2. 全局变量分类,2.2 隐藏物料状态,217,text,F325_mixed,"(M_solid_in1*F325_in1+M_solid_in2*F325_in2) / max(M_solid_in1+M_solid_in2,eps)","F325_mixed = (M_solid_in1*F325_in1+M_solid_in2*F325_in2) / max(M_solid_in1+M_solid_in2,eps)"
F0015_222,222,2. 全局变量分类,2.2 隐藏物料状态,217,text,Liberation_fe_mixed,"(M_solid_in1*Liberation_fe_in1+M_solid_in2*Liberation_fe_in2) / max(M_solid_in1+M_solid_in2,eps)","Liberation_fe_mixed = (M_solid_in1*Liberation_fe_in1+M_solid_in2*Liberation_fe_in2) / max(M_solid_in1+M_solid_in2,eps)"
F0015_226,226,2. 全局变量分类,2.2 隐藏物料状态,217,text,Liberation_gangue_mixed,"(M_solid_in1*Liberation_gangue_in1+M_solid_in2*Liberation_gangue_in2) / max(M_solid_in1+M_solid_in2,eps)","Liberation_gangue_mixed = (M_solid_in1*Liberation_gangue_in1+M_solid_in2*Liberation_gangue_in2) / max(M_solid_in1+M_solid_in2,eps)"
F0015_230,230,2. 全局变量分类,2.2 隐藏物料状态,217,text,T_slurry_mixed,"(M_wet_in1*Cp_slurry_in1*T_slurry_in1+M_wet_in2*Cp_slurry_in2*T_slurry_in2) / max(M_wet_in1*Cp_slurry_in1+M_wet_in2*Cp_slurry_in2,eps)","T_slurry_mixed = (M_wet_in1*Cp_slurry_in1*T_slurry_in1+M_wet_in2*Cp_slurry_in2*T_slurry_in2) / max(M_wet_in1*Cp_slurry_in1+M_wet_in2*Cp_slurry_in2,eps)"
F0016_238,238,2. 全局变量分类,2.2 隐藏物料状态,237,text,buffer_capacity,b0 + b_carb*r_carb + b_sil*r_sil + b_clay*clay + b_C*C + b_flow*M_solid,buffer_capacity = b0 + b_carb*r_carb + b_sil*r_sil + b_clay*clay + b_C*C + b_flow*M_solid
F0017_250,250,2. 全局变量分类,2.2 隐藏物料状态,249,text,hydrophobic_potential,h0 + h_lib*Liberation_gangue + h_sil*r_sil + h_carb*r_carb + h_fine*f25 - h_k6*dose_DF_K6 + h_ca*Ca2_effect,hydrophobic_potential = h0 + h_lib*Liberation_gangue + h_sil*r_sil + h_carb*r_carb + h_fine*f25 - h_k6*dose_DF_K6 + h_ca*Ca2_effect
F0018_263,263,2. 全局变量分类,2.3 DCS、lab、标签,262,text,DCS,在线传感器或控制系统可见值，可作 DCS-only 特征。,DCS = 在线传感器或控制系统可见值，可作 DCS-only 特征。
F0020_282,282,3. 基础动态函数,,281,text,u_sp,"clip( u_nom + Kp*error + Ki*integral(error) + Kff*feedforward_state + operator_trim + intervention, u_min,u_max)","u_sp = clip( u_nom + Kp*error + Ki*integral(error) + Kff*feedforward_state + operator_trim + intervention, u_min,u_max)"
F0020_290,290,3. 基础动态函数,,281,text,u_actual,"sat_act(u_sp,u_min,u_max,tau_act)","u_actual = sat_act(u_sp,u_min,u_max,tau_act)"
F0022_315,315,4. 入口边界因果模型,,314,text,"availability_iin{0,1},i","1,2,3","availability_i in {0,1}, i=1,2,3"
F0022_316,316,4. 入口边界因果模型,,314,text,M_wet_i,"availability_i*clip(M_nom_i+xi_common+xi_i,M_min_i,M_max_i)","M_wet_i = availability_i*clip(M_nom_i+xi_common+xi_i,M_min_i,M_max_i)"
F0022_317,317,4. 入口边界因果模型,,314,text,C_i,"clip(C_nom+k_load_C*(M_wet_i-M_nom_i)+k_clay_C*clay_i+xi_C_i,C_min,C_max)","C_i = clip(C_nom+k_load_C*(M_wet_i-M_nom_i)+k_clay_C*clay_i+xi_C_i,C_min,C_max)"
F0022_318,318,4. 入口边界因果模型,,314,text,M_solid_i,M_wet_i*C_i,M_solid_i = M_wet_i*C_i
F0022_319,319,4. 入口边界因果模型,,314,text,M_water_i,M_wet_i-M_solid_i,M_water_i = M_wet_i-M_solid_i
F0022_320,320,4. 入口边界因果模型,,314,text,TFe_i,"clip(G_base_i+k_mag_G*(r_mag_i-r_mag_ref)-k_clay_G*clay_i+xi_G_i,G_min,G_max)","TFe_i = clip(G_base_i+k_mag_G*(r_mag_i-r_mag_ref)-k_clay_G*clay_i+xi_G_i,G_min,G_max)"
F0023_332,332,4. 入口边界因果模型,,325,text,F200_i,sigmoid(logit(F200_i)),F200_i=sigmoid(logit(F200_i))
F0023_333,333,4. 入口边界因果模型,,325,text,F325_i,"F(45e-6;d80_i,n_rr)","F325_i=F(45e-6;d80_i,n_rr)"
F0023_334,334,4. 入口边界因果模型,,325,text,f25_i,"F(25e-6;d80_i,n_rr)","f25_i=F(25e-6;d80_i,n_rr)"
F0024_340,340,4. 入口边界因果模型,,339,text,Fe_total_i,M_solid_i*TFe_i,Fe_total_i=M_solid_i*TFe_i
F0024_341,341,4. 入口边界因果模型,,339,text,Fe_mag_i,Fe_total_i*r_mag_i,Fe_mag_i=Fe_total_i*r_mag_i
F0024_342,342,4. 入口边界因果模型,,339,text,Fe_hem_i,Fe_total_i*r_hem_i,Fe_hem_i=Fe_total_i*r_hem_i
F0024_343,343,4. 入口边界因果模型,,339,text,Fe_carb_i,Fe_total_i*r_carb_i,Fe_carb_i=Fe_total_i*r_carb_i
F0024_344,344,4. 入口边界因果模型,,339,text,Fe_sil_i,Fe_total_i*r_sil_i,Fe_sil_i=Fe_total_i*r_sil_i
F0024_345,345,4. 入口边界因果模型,,339,text,Gangue_i,M_solid_i-Fe_total_i,Gangue_i=M_solid_i-Fe_total_i
F0024_346,346,4. 入口边界因果模型,,339,text,FeO_proxy_i,k_feo_mag*Fe_mag_i+k_feo_carb*Fe_carb_i+k_feo_hem*Fe_hem_i+k_feo_sil*Fe_sil_i,FeO_proxy_i=k_feo_mag*Fe_mag_i+k_feo_carb*Fe_carb_i+k_feo_hem*Fe_hem_i+k_feo_sil*Fe_sil_i
F0024_348,348,4. 入口边界因果模型,,339,text,rho_solid_mix_i,"M_solid_i / max( Fe_mag_i/rho_fe_mag + Fe_hem_i/rho_fe_hem + Fe_carb_i/rho_fe_carb + Fe_sil_i/rho_fe_sil + Gangue_i/rho_gangue, eps)","rho_solid_mix_i = M_solid_i / max( Fe_mag_i/rho_fe_mag + Fe_hem_i/rho_fe_hem + Fe_carb_i/rho_fe_carb + Fe_sil_i/rho_fe_sil + Gangue_i/rho_gangue, eps)"
F0025_361,361,4. 入口边界因果模型,,360,text,Liberation_fe_i,"clip( L0_fe - k_L_wi*(WI_i-WI_ref) - k_L_size*(1-F200_i) - k_L_clay*clay_i, 0.1,0.8)","Liberation_fe_i = clip( L0_fe - k_L_wi*(WI_i-WI_ref) - k_L_size*(1-F200_i) - k_L_clay*clay_i, 0.1,0.8)"
F0025_368,368,4. 入口边界因果模型,,360,text,Liberation_gangue_i,"clip( L0_gangue - k_Lg_wi*(WI_i-WI_ref) - k_Lg_size*(1-F200_i), 0.1,0.8)","Liberation_gangue_i = clip( L0_gangue - k_Lg_wi*(WI_i-WI_ref) - k_Lg_size*(1-F200_i), 0.1,0.8)"
F0025_374,374,4. 入口边界因果模型,,360,text,T_slurry_i,T_amb+k_ore_temp*(T_ore_feed-T_amb)+k_water_temp*(T_process_water-T_amb),T_slurry_i = T_amb+k_ore_temp*(T_ore_feed-T_amb)+k_water_temp*(T_process_water-T_amb)
F0026_380,380,4. 入口边界因果模型,,379,text,M_solid_mixed,M_wet_1*C_1 + M_wet_2*C_2 + M_wet_3*C_3,M_solid_mixed = M_wet_1*C_1 + M_wet_2*C_2 + M_wet_3*C_3
F0026_381,381,4. 入口边界因果模型,,379,text,M_water_mixed,M_water_1 + M_water_2 + M_water_3,M_water_mixed = M_water_1 + M_water_2 + M_water_3
F0026_382,382,4. 入口边界因果模型,,379,text,M_wet_mixed,M_solid_mixed + M_water_mixed,M_wet_mixed = M_solid_mixed + M_water_mixed
F0026_383,383,4. 入口边界因果模型,,379,text,C_mixed,"M_solid_mixed/max(M_wet_mixed,eps)","C_mixed = M_solid_mixed/max(M_wet_mixed,eps)"
F0026_385,385,4. 入口边界因果模型,,379,text,_x_d3_WI_mixed,"(M_solid_1*WI_1+M_solid_2*WI_2+M_solid_3*WI_3) / max(M_solid_mixed,eps)","_x_d3_WI_mixed = (M_solid_1*WI_1+M_solid_2*WI_2+M_solid_3*WI_3) / max(M_solid_mixed,eps)"
F0026_388,388,4. 入口边界因果模型,,379,text,_x_clay_mixed,"(M_solid_1*clay_1+M_solid_2*clay_2+M_solid_3*clay_3) / max(M_solid_mixed,eps)","_x_clay_mixed = (M_solid_1*clay_1+M_solid_2*clay_2+M_solid_3*clay_3) / max(M_solid_mixed,eps)"
F0026_391,391,4. 入口边界因果模型,,379,text,_x_r_carb_mixed,"(M_solid_1*r_carb_1+M_solid_2*r_carb_2+M_solid_3*r_carb_3) / max(M_solid_mixed,eps)","_x_r_carb_mixed = (M_solid_1*r_carb_1+M_solid_2*r_carb_2+M_solid_3*r_carb_3) / max(M_solid_mixed,eps)"
F0026_395,395,4. 入口边界因果模型,,379,text,TFe_mixed,"(M_solid_1*TFe_1+M_solid_2*TFe_2+M_solid_3*TFe_3) / max(M_solid_mixed,eps)","TFe_mixed = (M_solid_1*TFe_1+M_solid_2*TFe_2+M_solid_3*TFe_3) / max(M_solid_mixed,eps)"
F0026_398,398,4. 入口边界因果模型,,379,text,rho_solid_mix_mixed,"M_solid_mixed / max( sum_i(Fe_mag_i/rho_fe_mag) + sum_i(Fe_hem_i/rho_fe_hem) + sum_i(Fe_carb_i/rho_fe_carb) + sum_i(Fe_sil_i/rho_fe_sil) + sum_i(Gangue_i/rho_gangue), eps)","rho_solid_mix_mixed = M_solid_mixed / max( sum_i(Fe_mag_i/rho_fe_mag) + sum_i(Fe_hem_i/rho_fe_hem) + sum_i(Fe_carb_i/rho_fe_carb) + sum_i(Fe_sil_i/rho_fe_sil) + sum_i(Gangue_i/rho_gangue), eps)"
F0026_406,406,4. 入口边界因果模型,,379,text,F200_mixed,"sum_i(M_solid_i*F200_i)/max(M_solid_mixed,eps)","F200_mixed = sum_i(M_solid_i*F200_i)/max(M_solid_mixed,eps)"
F0026_407,407,4. 入口边界因果模型,,379,text,F325_mixed,"sum_i(M_solid_i*F325_i)/max(M_solid_mixed,eps)","F325_mixed = sum_i(M_solid_i*F325_i)/max(M_solid_mixed,eps)"
F0026_408,408,4. 入口边界因果模型,,379,text,f25_mixed,"sum_i(M_solid_i*f25_i)/max(M_solid_mixed,eps)","f25_mixed = sum_i(M_solid_i*f25_i)/max(M_solid_mixed,eps)"
F0026_409,409,4. 入口边界因果模型,,379,text,Liberation_fe_mixed,"sum_i(M_solid_i*Liberation_fe_i)/max(M_solid_mixed,eps)","Liberation_fe_mixed = sum_i(M_solid_i*Liberation_fe_i)/max(M_solid_mixed,eps)"
F0026_410,410,4. 入口边界因果模型,,379,text,Liberation_gangue_mixed,"sum_i(M_solid_i*Liberation_gangue_i)/max(M_solid_mixed,eps)","Liberation_gangue_mixed = sum_i(M_solid_i*Liberation_gangue_i)/max(M_solid_mixed,eps)"
F0026_411,411,4. 入口边界因果模型,,379,text,T_slurry_mixed,"sum_i(M_wet_i*Cp_slurry_i*T_slurry_i)/max(sum_i(M_wet_i*Cp_slurry_i),eps)","T_slurry_mixed = sum_i(M_wet_i*Cp_slurry_i*T_slurry_i)/max(sum_i(M_wet_i*Cp_slurry_i),eps)"
F0027_417,417,4. 入口边界因果模型,,416,text,_x_d1,TFe_mixed,_x_d1=TFe_mixed
F0027_418,418,4. 入口边界因果模型,,416,text,_x_d2,"_x_r_carb_mixed or Fe_carb load, config must state exact meaning","_x_d2=_x_r_carb_mixed or Fe_carb load, config must state exact meaning"
F0027_419,419,4. 入口边界因果模型,,416,text,_x_d3,_x_d3_WI_mixed,_x_d3=_x_d3_WI_mixed
F0027_420,420,4. 入口边界因果模型,,416,text,_x_d4,water_pressure,_x_d4=water_pressure
F0027_421,421,4. 入口边界因果模型,,416,text,_x_m_ball,M_wet_mixed,_x_m_ball=M_wet_mixed
F0027_422,422,4. 入口边界因果模型,,416,text,_x_rho_ball,C_mixed,_x_rho_ball=C_mixed
F0028_432,432,4. 入口边界因果模型,,431,text,lab_{i}_eryi_tfe,"100*_x_eryi_line{i}_tfe+N(0,sigma_tfe_pct)","lab_{i}_eryi_tfe=100*_x_eryi_line{i}_tfe+N(0,sigma_tfe_pct)"
F0028_433,433,4. 入口边界因果模型,,431,text,lab_{i}_eryi_f200,"100*_x_eryi_line{i}_f200+N(0,sigma_f200_pct)","lab_{i}_eryi_f200=100*_x_eryi_line{i}_f200+N(0,sigma_f200_pct)"
F0030_461,461,5. 磁选因果模型,5.2 控制设定不得孤立,460,text,magnetic_difficulty,w_low_mag*(r_mag_ref-r_mag) + w_low_lib*(1-Liberation_fe) + w_coarse*(1-F200) + w_load*(Q_feed-Q_ref) + w_carb*r_carb + w_sil*r_sil,magnetic_difficulty = w_low_mag*(r_mag_ref-r_mag) + w_low_lib*(1-Liberation_fe) + w_coarse*(1-F200) + w_load*(Q_feed-Q_ref) + w_carb*r_carb + w_sil*r_sil
F0030_469,469,5. 磁选因果模型,5.2 控制设定不得孤立,460,text,I_exc_sp,"clip(I_nom + Kdiff_I*magnetic_difficulty - Kmag_I*(r_mag-r_mag_ref) + operator_trim_I + PRBS_mag_I, I_min,I_max)","I_exc_sp = clip(I_nom + Kdiff_I*magnetic_difficulty - Kmag_I*(r_mag-r_mag_ref) + operator_trim_I + PRBS_mag_I, I_min,I_max)"
F0030_476,476,5. 磁选因果模型,5.2 控制设定不得孤立,460,text,I_exc,"sat_act(I_exc_sp,I_min,I_max,tau_exc)","I_exc=sat_act(I_exc_sp,I_min,I_max,tau_exc)"
F0030_477,477,5. 磁选因果模型,5.2 控制设定不得孤立,460,text,B_eff,B_max*(1-exp(-I_exc/I_ref))*thermal_derate(T_coil),B_eff=B_max*(1-exp(-I_exc/I_ref))*thermal_derate(T_coil)
F0031_483,483,5. 磁选因果模型,5.2 控制设定不得孤立,482,text,f_pul_sp,"clip(f_pul_nom + Kcoarse_pul*(1-F325) + Kclay_pul*clay + Kslime_pul*f25 + Kload_pul*(Q_feed-Q_ref) + operator_trim_pul, f_pul_min,f_pul_max)","f_pul_sp=clip(f_pul_nom + Kcoarse_pul*(1-F325) + Kclay_pul*clay + Kslime_pul*f25 + Kload_pul*(Q_feed-Q_ref) + operator_trim_pul, f_pul_min,f_pul_max)"
F0031_490,490,5. 磁选因果模型,5.2 控制设定不得孤立,482,text,f_pul,"sat_act(f_pul_sp,f_pul_min,f_pul_max,tau_pul)","f_pul=sat_act(f_pul_sp,f_pul_min,f_pul_max,tau_pul)"
F0032_496,496,5. 磁选因果模型,5.2 控制设定不得孤立,495,text,clog_buildup,"c0 + c_clay*clay + c_f25*f25 + c_C*C + c_load*Q_feed/max(Q_ref,eps)","clog_buildup = c0 + c_clay*clay + c_f25*f25 + c_C*C + c_load*Q_feed/max(Q_ref,eps)"
F0032_502,502,5. 磁选因果模型,5.2 控制设定不得孤立,495,text,clog_wash,"c_flush_Q*Q_flush_lag/max(Q_flush_ref,eps) + c_pul_clog*f_pul_lag/max(f_pul_ref,eps)","clog_wash = c_flush_Q*Q_flush_lag/max(Q_flush_ref,eps) + c_pul_clog*f_pul_lag/max(f_pul_ref,eps)"
F0032_505,505,5. 磁选因果模型,5.2 控制设定不得孤立,495,text,matrix_clog,"clip(matrix_clog_prev+dt*(clog_buildup-clog_wash),0,1)","matrix_clog = clip(matrix_clog_prev+dt*(clog_buildup-clog_wash),0,1)"
F0032_507,507,5. 磁选因果模型,5.2 控制设定不得孤立,495,text,f_ring_sp,"clip(f_ring_nom + Kclog_ring*matrix_clog + Kcoarse_ring*(1-F200) + operator_trim_ring, f_ring_min,f_ring_max)","f_ring_sp=clip(f_ring_nom + Kclog_ring*matrix_clog + Kcoarse_ring*(1-F200) + operator_trim_ring, f_ring_min,f_ring_max)"
F0032_512,512,5. 磁选因果模型,5.2 控制设定不得孤立,495,text,f_ring,"sat_act(f_ring_sp,f_ring_min,f_ring_max,tau_ring)","f_ring=sat_act(f_ring_sp,f_ring_min,f_ring_max,tau_ring)"
F0033_518,518,5. 磁选因果模型,5.3 分选公式,517,text,capture_j,sigmoid(a0_j+aB_j*log(B_eff/B_ref)+aL_j*log(Liberation_j/L_ref) +aSize_j*(F200-F200_ref)+aC_j*(C-C_ref)-aQ_j*(Q_feed-Q_ref)),capture_j=sigmoid(a0_j+aB_j*log(B_eff/B_ref)+aL_j*log(Liberation_j/L_ref) +aSize_j*(F200-F200_ref)+aC_j*(C-C_ref)-aQ_j*(Q_feed-Q_ref))
F0033_521,521,5. 磁选因果模型,5.3 分选公式,517,text,E_pulse,exp(-((f_pul-f_pul_opt)/sigma_pul)^2),E_pulse=exp(-((f_pul-f_pul_opt)/sigma_pul)^2)
F0033_522,522,5. 磁选因果模型,5.3 分选公式,517,text,E_ring,exp(-((f_ring-f_ring_opt)/sigma_ring)^2)*(1-k_clog*matrix_clog),E_ring=exp(-((f_ring-f_ring_opt)/sigma_ring)^2)*(1-k_clog*matrix_clog)
F0033_523,523,5. 磁选因果模型,5.3 分选公式,517,text,E_level,exp(-((L_mag-L_ref)/sigma_L)^2),E_level=exp(-((L_mag-L_ref)/sigma_L)^2)
F0033_524,524,5. 磁选因果模型,5.3 分选公式,517,text,Entr,"clip( e0 + eC*C + ef25*f25 + eclay*clay + eL*(L_mag-L_ref) - e_pul*(f_pul-f_pul_min)/max(f_pul_ref,eps), 0,e_max)","Entr=clip( e0 + eC*C + ef25*f25 + eclay*clay + eL*(L_mag-L_ref) - e_pul*(f_pul-f_pul_min)/max(f_pul_ref,eps), 0,e_max)"
F0033_533,533,5. 磁选因果模型,5.3 分选公式,517,text,R_hm_j,"clip(capture_j*E_pulse*E_ring*E_level,0,Rmax_j)","R_hm_j=clip(capture_j*E_pulse*E_ring*E_level,0,Rmax_j)"
F0033_534,534,5. 磁选因果模型,5.3 分选公式,517,text,conc_j,R_hm_j*feed_j+Entr*Gangue*entr_share_j,conc_j=R_hm_j*feed_j+Entr*Gangue*entr_share_j
F0033_535,535,5. 磁选因果模型,5.3 分选公式,517,text,tail_j,feed_j-conc_j,tail_j=feed_j-conc_j
F0035_569,569,6. 塔磨与旋流器因果模型,6.2 泵池与旋流器,568,text,dL_pool/dt,(Q_in-Q_pump-Q_spill)/A_pool,dL_pool/dt=(Q_in-Q_pump-Q_spill)/A_pool
F0035_570,570,6. 塔磨与旋流器因果模型,6.2 泵池与旋流器,568,text,P_cyc_lag,"delay(P_cyc,L_pump_pressure)","P_cyc_lag=delay(P_cyc,L_pump_pressure)"
F0035_571,571,6. 塔磨与旋流器因果模型,6.2 泵池与旋流器,568,text,f_pump_sp,"clip(f0+Kp_L*(L_pool-L_sp)+Kp_P*(P_sp-P_cyc_lag)+Kff_Q*Q_in,f_min,f_max)","f_pump_sp=clip(f0+Kp_L*(L_pool-L_sp)+Kp_P*(P_sp-P_cyc_lag)+Kff_Q*Q_in,f_min,f_max)"
F0035_572,572,6. 塔磨与旋流器因果模型,6.2 泵池与旋流器,568,text,f_pump,"sat_act(f_pump_sp,f_min,f_max,tau_pump)","f_pump=sat_act(f_pump_sp,f_min,f_max,tau_pump)"
F0035_573,573,6. 塔磨与旋流器因果模型,6.2 泵池与旋流器,568,text,Q_pump,"k_pump*f_pump*(1-exp(-max(L_pool,0)/max(L_min_safe,eps)))*health_pump","Q_pump=k_pump*f_pump*(1-exp(-max(L_pool,0)/max(L_min_safe,eps)))*health_pump"
F0035_574,574,6. 塔磨与旋流器因果模型,6.2 泵池与旋流器,568,text,P_cyc,"clip(kP*rho_slurry*(Q_pump/max(N_cyc_on,1))^2,P_min,P_max)","P_cyc=clip(kP*rho_slurry*(Q_pump/max(N_cyc_on,1))^2,P_min,P_max)"
F0035_575,575,6. 塔磨与旋流器因果模型,6.2 泵池与旋流器,568,text,I_pump,I0+kf*f_pump^2+kQ*Q_pump+krho*rho_slurry+kmu*mu_slurry+kP_pump*P_cyc,I_pump=I0+kf*f_pump^2+kQ*Q_pump+krho*rho_slurry+kmu*mu_slurry+kP_pump*P_cyc
F0036_581,581,6. 塔磨与旋流器因果模型,6.2 泵池与旋流器,580,text,tau_cyc_pool,"max(L_pool*A_pool/max(Q_pump,eps),min_tau_cyc_pool)","tau_cyc_pool=max(L_pool*A_pool/max(Q_pump,eps),min_tau_cyc_pool)"
F0036_582,582,6. 塔磨与旋流器因果模型,6.2 泵池与旋流器,580,text,C_feed_in,"(M_mag_conc_solid+M_tm_discharge_solid_prev)/max(M_mag_conc_wet+M_tm_discharge_wet_prev+M_water_add,eps)","C_feed_in=(M_mag_conc_solid+M_tm_discharge_solid_prev)/max(M_mag_conc_wet+M_tm_discharge_wet_prev+M_water_add,eps)"
F0036_583,583,6. 塔磨与旋流器因果模型,6.2 泵池与旋流器,580,text,F325_feed_in,"(M_mag_conc_solid*F325_mag_conc+M_tm_discharge_solid_prev*F325_discharge_prev)/max(M_mag_conc_solid+M_tm_discharge_solid_prev,eps)","F325_feed_in=(M_mag_conc_solid*F325_mag_conc+M_tm_discharge_solid_prev*F325_discharge_prev)/max(M_mag_conc_solid+M_tm_discharge_solid_prev,eps)"
F0036_584,584,6. 塔磨与旋流器因果模型,6.2 泵池与旋流器,580,text,Liberation_fe_feed_in,"(M_mag_conc_solid*Liberation_fe_mag_conc+M_tm_discharge_solid_prev*Liberation_fe_discharge_prev)/max(M_mag_conc_solid+M_tm_discharge_solid_prev,eps)","Liberation_fe_feed_in=(M_mag_conc_solid*Liberation_fe_mag_conc+M_tm_discharge_solid_prev*Liberation_fe_discharge_prev)/max(M_mag_conc_solid+M_tm_discharge_solid_prev,eps)"
F0036_585,585,6. 塔磨与旋流器因果模型,6.2 泵池与旋流器,580,text,Liberation_gangue_feed_in,"(M_mag_conc_solid*Liberation_gangue_mag_conc+M_tm_discharge_solid_prev*Liberation_gangue_discharge_prev)/max(M_mag_conc_solid+M_tm_discharge_solid_prev,eps)","Liberation_gangue_feed_in=(M_mag_conc_solid*Liberation_gangue_mag_conc+M_tm_discharge_solid_prev*Liberation_gangue_discharge_prev)/max(M_mag_conc_solid+M_tm_discharge_solid_prev,eps)"
